"Country.Code","Short.Name","Region"
"CYM","Cayman Islands","Latin America & Caribbean"
"CYP","Cyprus","Europe & Central Asia"
"CZE","Czech Republic","Europe & Central Asia"
"DEU","Germany","Europe & Central Asia"
"DJI","Djibouti","Middle East & North Africa"
"DMA","Dominica","Latin America & Caribbean"
"DNK","Denmark","Europe & Central Asia"
"DOM","Dominican Republic","Latin America & Caribbean"
"DZA","Algeria","Middle East & North Africa"
"EAS","East Asia & Pacific",""
"ECS","Europe & Central Asia",""
"ECU","Ecuador","Latin America & Caribbean"
"EGY","Egypt","Middle East & North Africa"
"ERI","Eritrea","Sub-Saharan Africa"
"ESP","Spain","Europe & Central Asia"
"EST","Estonia","Europe & Central Asia"
"ETH","Ethiopia","Sub-Saharan Africa"
"FIN","Finland","Europe & Central Asia"
"FJI","Fiji","East Asia & Pacific"
"FRA","France","Europe & Central Asia"
"FRO","Faroe Islands","Europe & Central Asia"
"FSM","Micronesia","East Asia & Pacific"
"GAB","Gabon","Sub-Saharan Africa"
"GBR","United Kingdom","Europe & Central Asia"
"GEO","Georgia","Europe & Central Asia"
"GHA","Ghana","Sub-Saharan Africa"
"GIB","Gibraltar","Europe & Central Asia"
"GIN","Guinea","Sub-Saharan Africa"
"GMB","The Gambia","Sub-Saharan Africa"
"GNB","Guinea-Bissau","Sub-Saharan Africa"
"GNQ","Equatorial Guinea","Sub-Saharan Africa"
"GRC","Greece","Europe & Central Asia"
"GRD","Grenada","Latin America & Caribbean"
"GRL","Greenland","Europe & Central Asia"
"GTM","Guatemala","Latin America & Caribbean"
"GUM","Guam","East Asia & Pacific"
"GUY","Guyana","Latin America & Caribbean"
"HIC","High income",""
"HKG","Hong Kong SAR, China","East Asia & Pacific"
"HND","Honduras","Latin America & Caribbean"
"HRV","Croatia","Europe & Central Asia"
"HTI","Haiti","Latin America & Caribbean"
"HUN","Hungary","Europe & Central Asia"
"IDN","Indonesia","East Asia & Pacific"
"IMN","Isle of Man","Europe & Central Asia"
"IND","India","South Asia"
"IRL","Ireland","Europe & Central Asia"
"IRN","Iran","Middle East & North Africa"
"IRQ","Iraq","Middle East & North Africa"
"ISL","Iceland","Europe & Central Asia"
"ISR","Israel","Middle East & North Africa"
"ITA","Italy","Europe & Central Asia"
"JAM","Jamaica","Latin America & Caribbean"
"JOR","Jordan","Middle East & North Africa"
"JPN","Japan","East Asia & Pacific"
"KAZ","Kazakhstan","Europe & Central Asia"
"KEN","Kenya","Sub-Saharan Africa"
"KGZ","Kyrgyz Republic","Europe & Central Asia"
"KHM","Cambodia","East Asia & Pacific"
"KIR","Kiribati","East Asia & Pacific"
"KNA","St. Kitts and Nevis","Latin America & Caribbean"
"KOR","Korea","East Asia & Pacific"
"KWT","Kuwait","Middle East & North Africa"
"LAO","Lao PDR","East Asia & Pacific"
"LBN","Lebanon","Middle East & North Africa"
"LBR","Liberia","Sub-Saharan Africa"
"LBY","Libya","Middle East & North Africa"
"LCA","St. Lucia","Latin America & Caribbean"
"LCN","Latin America & Caribbean",""
"LIC","Low income",""
"LIE","Liechtenstein","Europe & Central Asia"
"LKA","Sri Lanka","South Asia"
"LMC","Lower middle income",""
"LSO","Lesotho","Sub-Saharan Africa"
"LTU","Lithuania","Europe & Central Asia"
"LUX","Luxembourg","Europe & Central Asia"
"LVA","Latvia","Europe & Central Asia"
"MAC","Macao SAR, China","East Asia & Pacific"
"MAF","St. Martin (French part)","Latin America & Caribbean"
"MAR","Morocco","Middle East & North Africa"
"MCO","Monaco","Europe & Central Asia"
"MDA","Moldova","Europe & Central Asia"
"MDG","Madagascar","Sub-Saharan Africa"
"MDV","Maldives","South Asia"
"MEA","Middle East & North Africa",""
"MEX","Mexico","Latin America & Caribbean"
"MHL","Marshall Islands","East Asia & Pacific"
"MKD","Macedonia","Europe & Central Asia"
"MLI","Mali","Sub-Saharan Africa"
"MLT","Malta","Middle East & North Africa"
"MMR","Myanmar","East Asia & Pacific"
"MNE","Montenegro","Europe & Central Asia"
"MNG","Mongolia","East Asia & Pacific"
"MNP","Northern Mariana Islands","East Asia & Pacific"
"MOZ","Mozambique","Sub-Saharan Africa"
"MRT","Mauritania","Sub-Saharan Africa"
"MUS","Mauritius","Sub-Saharan Africa"
"MWI","Malawi","Sub-Saharan Africa"
"MYS","Malaysia","East Asia & Pacific"
"NAC","North America",""
"NAM","Namibia","Sub-Saharan Africa"
"NCL","New Caledonia","East Asia & Pacific"
"NER","Niger","Sub-Saharan Africa"
"NGA","Nigeria","Sub-Saharan Africa"
"NIC","Nicaragua","Latin America & Caribbean"
"NLD","Netherlands","Europe & Central Asia"
"NOR","Norway","Europe & Central Asia"
"NPL","Nepal","South Asia"
"NRU","Nauru","East Asia & Pacific"
"NZL","New Zealand","East Asia & Pacific"
"OMN","Oman","Middle East & North Africa"
"PAK","Pakistan","South Asia"
"PAN","Panama","Latin America & Caribbean"
"PER","Peru","Latin America & Caribbean"
"PHL","Philippines","East Asia & Pacific"
"PLW","Palau","East Asia & Pacific"
"PNG","Papua New Guinea","East Asia & Pacific"
"POL","Poland","Europe & Central Asia"
"PRI","Puerto Rico","Latin America & Caribbean"
"PRK","Dem. People's Rep. Korea","East Asia & Pacific"
"PRT","Portugal","Europe & Central Asia"
"PRY","Paraguay","Latin America & Caribbean"
"PSE","West Bank and Gaza","Middle East & North Africa"
"PYF","French Polynesia","East Asia & Pacific"
"QAT","Qatar","Middle East & North Africa"
"ROU","Romania","Europe & Central Asia"
"RUS","Russia","Europe & Central Asia"
"RWA","Rwanda","Sub-Saharan Africa"
"SAS","South Asia",""
"SAU","Saudi Arabia","Middle East & North Africa"
"SDN","Sudan","Sub-Saharan Africa"
"SEN","Senegal","Sub-Saharan Africa"
"SGP","Singapore","East Asia & Pacific"
"SLB","Solomon Islands","East Asia & Pacific"
"SLE","Sierra Leone","Sub-Saharan Africa"
"SLV","El Salvador","Latin America & Caribbean"
"SMR","San Marino","Europe & Central Asia"
"SOM","Somalia","Sub-Saharan Africa"
"SRB","Serbia","Europe & Central Asia"
"SSD","South Sudan","Sub-Saharan Africa"
"SSF","Sub-Saharan Africa",""
"STP","São Tomé and Principe","Sub-Saharan Africa"
"SUR","Suriname","Latin America & Caribbean"
"SVK","Slovak Republic","Europe & Central Asia"
"SVN","Slovenia","Europe & Central Asia"
"SWE","Sweden","Europe & Central Asia"
"SWZ","Swaziland","Sub-Saharan Africa"
"SXM","Sint Maarten (Dutch part)","Latin America & Caribbean"
"SYC","Seychelles","Sub-Saharan Africa"
"SYR","Syrian Arab Republic","Middle East & North Africa"
"TCA","Turks and Caicos Islands","Latin America & Caribbean"
"TCD","Chad","Sub-Saharan Africa"
"TGO","Togo","Sub-Saharan Africa"
"THA","Thailand","East Asia & Pacific"
"TJK","Tajikistan","Europe & Central Asia"
"TKM","Turkmenistan","Europe & Central Asia"
"TLS","Timor-Leste","East Asia & Pacific"
"TON","Tonga","East Asia & Pacific"
"TTO","Trinidad and Tobago","Latin America & Caribbean"
"TUN","Tunisia","Middle East & North Africa"
"TUR","Turkey","Europe & Central Asia"
"TUV","Tuvalu","East Asia & Pacific"
"TZA","Tanzania","Sub-Saharan Africa"
"UGA","Uganda","Sub-Saharan Africa"
"UKR","Ukraine","Europe & Central Asia"
"UMC","Upper middle income",""
"URY","Uruguay","Latin America & Caribbean"
"USA","United States","North America"
"UZB","Uzbekistan","Europe & Central Asia"
"VCT","St. Vincent and the Grenadines","Latin America & Caribbean"
"VEN","Venezuela","Latin America & Caribbean"
"VGB","British Virgin Islands","Latin America & Caribbean"
"VIR","Virgin Islands","Latin America & Caribbean"
"VNM","Vietnam","East Asia & Pacific"
"VUT","Vanuatu","East Asia & Pacific"
"WLD","World",""
"WSM","Samoa","East Asia & Pacific"
"XKX","Kosovo","Europe & Central Asia"
"YEM","Yemen","Middle East & North Africa"
"ZAF","South Africa","Sub-Saharan Africa"
"ZMB","Zambia","Sub-Saharan Africa"
"ZWE","Zimbabwe","Sub-Saharan Africa"
